TEAM_NAME,FGA,FTA,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks,96.67,80.0,51.67,50.0,18.33,53.33,51.67,86.67
Boston Celtics,76.67,18.33,56.67,13.33,98.33,3.33,6.67,96.67
Brooklyn Nets,50.0,35.0,35.0,13.33,61.67,43.33,45.0,20.0
Charlotte Hornets,20.0,3.33,18.33,21.67,18.33,60.0,25.0,10.0
Chicago Bulls,60.0,43.33,26.67,76.67,43.33,10.0,60.0,30.0
Cleveland Cavaliers,23.33,23.33,76.67,40.0,28.33,56.67,16.67,36.67
Dallas Mavericks,66.67,66.67,40.0,21.67,50.0,13.33,33.33,80.0
Denver Nuggets,46.67,6.67,93.33,31.67,71.67,16.67,30.0,56.67
Detroit Pistons,35.0,53.33,30.0,5.0,38.33,95.0,93.33,13.33
Golden State Warriors,93.33,11.67,90.0,26.67,28.33,76.67,73.33,76.67
Houston Rockets,86.67,85.0,18.33,76.67,28.33,23.33,96.67,50.0
Indiana Pacers,100.0,28.33,100.0,68.33,76.67,31.67,100.0,100.0
LA Clippers,16.67,63.33,35.0,76.67,50.0,43.33,45.0,63.33
Los Angeles Lakers,30.0,96.67,85.0,40.0,66.67,66.67,3.33,83.33
Memphis Grizzlies,35.0,40.0,11.67,88.33,88.33,88.33,66.67,3.33
Miami Heat,10.0,60.0,43.33,50.0,3.33,23.33,13.33,16.67
Milwaukee Bucks,40.0,93.33,46.67,13.33,50.0,31.67,70.0,90.0
Minnesota Timberwolves,6.67,76.67,51.67,83.33,88.33,73.33,60.0,43.33
New Orleans Pelicans,26.67,73.33,61.67,93.33,28.33,36.67,38.33,60.0
New York Knicks,43.33,56.67,6.67,50.0,6.67,50.0,20.0,40.0
Oklahoma City Thunder,53.33,46.67,66.67,98.33,98.33,23.33,60.0,93.33
Orlando Magic,3.33,100.0,11.67,88.33,61.67,80.0,76.67,23.33
Philadelphia 76ers,56.67,90.0,23.33,98.33,81.67,6.67,90.0,53.33
Phoenix Suns,13.33,85.0,61.67,40.0,81.67,83.33,25.0,70.0
Portland Trail Blazers,66.67,28.33,3.33,60.0,13.33,95.0,86.67,6.67
Sacramento Kings,83.33,35.0,80.0,60.0,10.0,43.33,80.0,73.33
San Antonio Spurs,80.0,11.67,96.67,31.67,93.33,88.33,10.0,26.67
Toronto Raptors,66.67,50.0,85.0,68.33,38.33,66.67,38.33,33.33
Utah Jazz,73.33,70.0,70.0,5.0,71.67,100.0,51.67,66.67
Washington Wizards,90.0,18.33,73.33,60.0,56.67,66.67,83.33,46.67
