TEAM_NAME,FGA,FTA,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks,1.74,0.98,-0.04,0.04,-0.82,-0.09,-0.1,0.96
Boston Celtics,0.63,-1.01,0.12,-1.23,1.82,-1.6,-1.93,1.5
Brooklyn Nets,0.1,-0.55,-0.58,-1.23,0.06,-0.47,-0.18,-0.9
Charlotte Hornets,-0.92,-2.21,-1.01,-1.04,-0.82,0.19,-0.56,-1.79
Chicago Bulls,0.29,-0.41,-0.9,0.58,-0.44,-1.32,0.05,-0.45
Cleveland Cavaliers,-0.82,-0.88,0.72,-0.14,-0.69,0.0,-0.94,-0.38
Dallas Mavericks,0.39,0.52,-0.52,-1.04,-0.19,-1.04,-0.33,0.86
Denver Nuggets,-0.05,-1.21,1.53,-0.68,0.57,-0.94,-0.4,0.16
Detroit Pistons,-0.34,-0.01,-0.63,-1.77,-0.57,1.51,1.43,-1.02
Golden State Warriors,1.3,-1.14,1.42,-0.86,-0.69,0.66,0.59,0.84
Houston Rockets,1.01,1.12,-1.01,0.58,-0.69,-0.85,1.58,0.02
Indiana Pacers,1.83,-0.81,2.23,0.4,0.94,-0.66,2.04,2.13
LA Clippers,-1.06,0.32,-0.58,0.58,-0.19,-0.47,-0.18,0.32
Los Angeles Lakers,-0.68,1.65,0.99,-0.14,0.44,0.38,-2.39,0.89
Memphis Grizzlies,-0.34,-0.48,-1.06,1.3,1.2,1.41,0.28,-1.98
Miami Heat,-1.59,0.19,-0.47,0.04,-2.2,-0.85,-1.09,-0.97
Milwaukee Bucks,-0.19,1.45,-0.09,-1.23,-0.19,-0.66,0.36,1.12
Minnesota Timberwolves,-1.88,0.78,-0.04,0.76,1.2,0.57,0.05,-0.29
New Orleans Pelicans,-0.72,0.72,0.18,1.48,-0.69,-0.57,-0.25,0.21
New York Knicks,-0.1,0.05,-1.22,0.04,-1.32,-0.38,-0.86,-0.33
Oklahoma City Thunder,0.19,-0.15,0.23,1.84,1.82,-0.85,0.05,1.38
Orlando Magic,-1.93,1.78,-1.06,1.3,0.06,1.04,0.74,-0.87
Philadelphia 76ers,0.24,1.25,-0.95,1.84,1.07,-1.51,1.2,0.09
Phoenix Suns,-1.35,1.12,0.18,-0.14,1.07,1.23,-0.56,0.47
Portland Trail Blazers,0.39,-0.81,-1.92,0.22,-1.07,1.51,1.12,-1.84
Sacramento Kings,0.96,-0.55,0.88,0.22,-1.2,-0.47,0.89,0.56
San Antonio Spurs,0.87,-1.14,1.74,-0.68,1.45,1.41,-1.17,-0.5
Toronto Raptors,0.39,-0.08,0.99,0.4,-0.57,0.38,-0.25,-0.43
Utah Jazz,0.48,0.59,0.29,-1.77,0.57,1.98,-0.1,0.35
Washington Wizards,1.21,-1.01,0.66,0.22,-0.06,0.38,0.97,-0.12
